"datum_vysledku";"okres";"orp";"pohlavi";"vek_kat";"pocet_pozitivni_primarni";"pocet_testu_u_pozitivnich";"pocet_opakovanych"
"2020-08-27";"CZ0533";"PoliËka";"M";"0-19";"1";"2";"1"
"2020-10-05";"CZ0100";"Praha";"Z";"20-64";"183";"422";"239"
"2020-09-29";"CZ0647";"Znojmo";"Z";"20-64";"7";"15";"8"
"2020-04-15";"CZ0514";"Turnov";"Z";"20-64";"";"2";""
"2020-04-26";"CZ0712";"Litovel";"M";"65+";"";"4";""
"2020-04-15";"CZ0712";"Olomouc";"Z";"65+";"1";"4";"3"
"2020-04-16";"CZ0523";"N·chod";"Z";"0-19";"";"3";""
"2020-08-28";"CZ0722";"UherskÈ HradiötÏ";"M";"65+";"1";"2";"1"
"2020-06-03";"CZ0322";"HoraûÔovice";"M";"20-64";"";"1";""
"2020-09-08";"CZ0642";"Brno";"Z";"20-64";"14";"35";"21"
"2020-08-22";"CZ0722";"Uhersk˝ Brod";"Z";"20-64";"1";"2";"1"
"2020-04-16";"";"";"";"";"";"23";""
"2020-09-07";"CZ0635";"éÔ·r nad S·zavou";"Z";"0-19";"1";"2";"1"
"2020-09-09";"CZ0203";"Kladno";"Z";"0-19";"3";"25";"22"
"2020-09-22";"CZ0413";"Sokolov";"Z";"0-19";"1";"2";"1"
"2020-10-06";"CZ0533";"Moravsk· T¯ebov·";"M";"20-64";"";"2";""
"2020-04-13";"CZ0722";"UherskÈ HradiötÏ";"Z";"20-64";"";"2";""
"2020-07-23";"CZ0205";"»·slav";"Z";"20-64";"";"2";""
"2020-09-04";"CZ0316";"Strakonice";"M";"0-19";"1";"7";"6"
"2020-05-15";"CZ0712";"Olomouc";"M";"20-64";"";"5";""
"2020-04-07";"CZ0714";"Hranice";"Z";"20-64";"1";"2";"1"
"2020-05-11";"CZ0724";"ZlÌn";"M";"20-64";"1";"2";"1"
"2020-09-30";"CZ0205";"Kutn· Hora";"M";"65+";"1";"2";"1"
"2020-06-10";"CZ0803";"Orlov·";"M";"0-19";"";"1";""
"2020-08-03";"CZ0805";"HluËÌn";"M";"20-64";"";"2";""
"2020-09-18";"CZ0323";"N/A";"Z";"0-19";"";"1";""
"2020-07-11";"CZ0100";"Praha";"Z";"65+";"";"2";""
"2020-04-08";"CZ0524";"Dobruöka";"Z";"20-64";"1";"2";"1"
"2020-06-10";"CZ099Y";"N/A";"Z";"20-64";"2";"1";"-1"
"2020-08-24";"CZ0722";"UherskÈ HradiötÏ";"Z";"0-19";"";"2";""
"2020-03-17";"CZ0311";"»eskÈ BudÏjovice";"M";"20-64";"";"4";""
"2020-06-09";"CZ0712";"Litovel";"Z";"65+";"";"11";""
"2020-10-08";"CZ0208";"Nymburk";"M";"0-19";"1";"4";"3"
"2020-10-05";"CZ0327";"Tachov";"Z";"65+";"2";"4";"2"
"2020-10-10";"CZ0534";"Lanökroun";"M";"20-64";"4";"8";"4"
"2020-09-10";"CZ0513";"Fr˝dlant";"Z";"0-19";"1";"2";"1"
"2020-04-22";"CZ0712";"UniËov";"M";"65+";"";"2";""
"2020-08-27";"CZ0207";"Mlad· Boleslav";"M";"0-19";"";"1";""
"2020-04-17";"CZ0411";"Mari·nskÈ L·znÏ";"M";"0-19";"";"1";""
"2020-04-11";"CZ0423";"LitomÏ¯ice";"Z";"0-19";"3";"3";"0"
"2020-07-14";"CZ099Y";"N/A";"Z";"20-64";"";"1";""
"2020-05-08";"CZ0427";"⁄stÌ nad Labem";"Z";"20-64";"";"1";""
"2020-04-19";"CZ0804";"Kop¯ivnice";"Z";"0-19";"";"2";""
"2020-09-24";"CZ0423";"LitomÏ¯ice";"Z";"0-19";"4";"8";"4"
"2020-10-02";"CZ0645";"Kyjov";"Z";"0-19";"2";"4";"2"
"2020-08-27";"CZ0646";"BuËovice";"Z";"20-64";"";"1";""
"2020-04-03";"CZ0523";"Broumov";"M";"20-64";"";"1";""
"2020-10-08";"CZ0645";"VeselÌ nad Moravou";"M";"20-64";"15";"31";"16"
"2020-03-26";"CZ0100";"Praha";"M";"0-19";"4";"19";"15"
"2020-06-24";"CZ0315";"Prachatice";"M";"20-64";"";"4";""
"2020-08-31";"CZ0202";"Beroun";"M";"20-64";"";"2";""
"2020-10-02";"CZ0645";"Kyjov";"Z";"65+";"3";"6";"3"
"2020-10-07";"CZ0514";"Turnov";"M";"0-19";"1";"2";"1"
"2020-05-25";"CZ0531";"Chrudim";"M";"20-64";"";"2";""
"2020-09-15";"CZ0641";"Boskovice";"M";"65+";"2";"4";"2"
"2020-04-20";"CZ0712";"äternberk";"Z";"20-64";"";"6";""
"2020-07-20";"CZ0311";"»eskÈ BudÏjovice";"M";"20-64";"";"1";""
"2020-05-15";"CZ0805";"Opava";"Z";"20-64";"2";"7";"5"
"2020-10-06";"CZ0411";"Mari·nskÈ L·znÏ";"Z";"20-64";"3";"7";"4"
"2020-10-12";"CZ0512";"N/A";"Z";"0-19";"1";"1";"0"
"2020-09-10";"CZ0317";"SobÏslav";"M";"65+";"";"1";""
"2020-10-02";"CZ0642";"Brno";"M";"20-64";"57";"92";"35"
"2020-09-10";"CZ0427";"⁄stÌ nad Labem";"M";"65+";"1";"2";"1"
"2020-09-05";"CZ0209";"ÿÌËany";"Z";"20-64";"3";"9";"6"
"2020-09-24";"CZ0207";"Mlad· Boleslav";"M";"20-64";"7";"12";"5"
"2020-09-24";"CZ0316";"Strakonice";"Z";"20-64";"3";"11";"8"
"2020-09-17";"CZ0721";"Holeöov";"M";"0-19";"1";"2";"1"
"2020-10-03";"CZ0314";"Milevsko";"M";"20-64";"3";"3";"0"
"2020-05-16";"CZ0209";"N/A";"M";"20-64";"1";"1";"0"
"2020-08-27";"CZ0646";"Vyökov";"Z";"20-64";"1";"2";"1"
"2020-09-22";"CZ0523";"N·chod";"Z";"65+";"";"1";""
"2020-06-08";"CZ0321";"Horöovsk˝ T˝n";"M";"20-64";"";"3";""
"2020-10-06";"CZ0802";"N/A";"Z";"20-64";"4";"8";"4"
"2020-10-06";"CZ0635";"VelkÈ Mezi¯ÌËÌ";"M";"65+";"5";"10";"5"
"2020-09-22";"CZ0641";"Boskovice";"M";"0-19";"2";"4";"2"
"2020-06-24";"CZ0427";"⁄stÌ nad Labem";"M";"20-64";"";"1";""
"2020-04-07";"CZ0642";"Brno";"Z";"20-64";"3";"20";"17"
"2020-08-01";"CZ0315";"Prachatice";"M";"20-64";"";"2";""
"2020-04-04";"CZ0413";"Sokolov";"Z";"20-64";"2";"5";"3"
"2020-08-03";"CZ0512";"Jablonec nad Nisou";"Z";"20-64";"";"7";""
"2020-09-28";"CZ0722";"UherskÈ HradiötÏ";"M";"20-64";"9";"20";"11"
"2020-09-18";"CZ0721";"KromÏ¯Ìû";"M";"20-64";"1";"4";"3"
"2020-08-01";"CZ0513";"Liberec";"M";"20-64";"";"3";""
"2020-09-12";"CZ0312";"»esk˝ Krumlov";"Z";"20-64";"2";"3";"1"
"2020-09-30";"CZ0423";"Roudnice nad Labem";"Z";"20-64";"4";"12";"8"
"2020-08-15";"CZ0802";"T¯inec";"Z";"20-64";"2";"3";"1"
"2020-04-09";"CZ0327";"Tachov";"Z";"20-64";"";"2";""
"2020-09-14";"CZ0326";"Rokycany";"Z";"0-19";"3";"13";"10"
"2020-09-08";"CZ0721";"Holeöov";"Z";"20-64";"2";"2";"0"
"2020-04-29";"CZ0426";"Teplice";"Z";"65+";"";"2";""
"2020-09-15";"CZ0643";"Tiönov";"M";"65+";"1";"2";"1"
"2020-04-28";"CZ0647";"Znojmo";"Z";"65+";"";"2";""
"2020-10-10";"CZ0514";"Turnov";"M";"65+";"1";"2";"1"
"2020-06-17";"CZ0514";"Turnov";"Z";"20-64";"";"2";""
"2020-04-19";"CZ0321";"Domaûlice";"Z";"0-19";"1";"2";"1"
"2020-04-28";"CZ0512";"Jablonec nad Nisou";"M";"0-19";"";"4";""
"2020-09-30";"CZ0422";"KadaÚ";"Z";"65+";"2";"4";"2"
"2020-09-16";"CZ020C";"RakovnÌk";"Z";"20-64";"4";"6";"2"
"2020-06-12";"CZ0805";"Opava";"M";"20-64";"1";"2";"1"
"2020-03-30";"CZ0421";"DÏËÌn";"Z";"0-19";"";"1";""
"2020-05-30";"CZ0321";"Domaûlice";"Z";"65+";"";"2";""
"2020-06-06";"CZ0427";"⁄stÌ nad Labem";"Z";"20-64";"";"2";""
"2020-09-03";"CZ0533";"Litomyöl";"M";"0-19";"2";"5";"3"
"2020-04-29";"CZ0208";"Lys· nad Labem";"Z";"20-64";"";"1";""
"2020-07-28";"CZ0524";"Kostelec nad OrlicÌ";"Z";"20-64";"";"1";""
"2020-03-31";"CZ0422";"Chomutov";"M";"20-64";"";"1";""
"2020-06-10";"CZ0643";"älapanice";"M";"20-64";"";"1";""
"2020-08-10";"CZ0316";"VodÚany";"M";"20-64";"";"2";""
"2020-10-09";"CZ0714";"Hranice";"M";"65+";"1";"2";"1"
"2020-05-14";"CZ0100";"Praha";"Z";"0-19";"";"2";""
"2020-09-15";"CZ0317";"SobÏslav";"Z";"0-19";"";"2";""
"2020-04-19";"CZ0203";"Kladno";"M";"20-64";"";"2";""
"2020-07-30";"CZ0724";"ZlÌn";"M";"0-19";"";"1";""
"2020-04-13";"CZ0802";"Fr˝dek-MÌstek";"Z";"20-64";"";"13";""
"2020-10-03";"CZ0803";"BohumÌn";"Z";"65+";"";"1";""
"2020-10-11";"CZ0802";"N/A";"Z";"0-19";"1";"2";"1"
"2020-07-29";"CZ020C";"RakovnÌk";"M";"20-64";"";"1";""
"2020-09-24";"CZ0533";"Litomyöl";"M";"20-64";"5";"13";"8"
"2020-04-03";"CZ0204";"»esk˝ Brod";"Z";"20-64";"1";"2";"1"
"2020-07-24";"CZ0100";"Praha";"M";"20-64";"37";"84";"47"
"2020-10-09";"CZ0643";"Poho¯elice";"M";"20-64";"4";"8";"4"
"2020-04-07";"CZ0205";"Kutn· Hora";"M";"20-64";"1";"2";"1"
"2020-04-21";"CZ0512";"Turnov";"M";"20-64";"";"2";""
"2020-10-10";"CZ0805";"Krava¯e";"Z";"20-64";"6";"12";"6"
"2020-04-09";"CZ0804";"Kop¯ivnice";"Z";"20-64";"";"4";""
"2020-10-03";"CZ0315";"Vimperk";"M";"20-64";"2";"2";"0"
"2020-09-22";"CZ0321";"Domaûlice";"M";"0-19";"3";"6";"3"
"2020-10-06";"CZ0803";"»esk˝ TÏöÌn";"M";"20-64";"1";"4";"3"
"2020-07-14";"CZ0803";"N/A";"M";"20-64";"";"2";""
"2020-07-18";"CZ0803";"HavÌ¯ov";"M";"0-19";"2";"6";"4"
"2020-04-17";"CZ0713";"ProstÏjov";"M";"20-64";"";"6";""
"2020-09-16";"CZ0522";"JiËÌn";"Z";"0-19";"3";"8";"5"
"2020-08-10";"CZ0100";"Praha";"M";"20-64";"27";"113";"86"
"2020-10-08";"CZ0203";"Kladno";"Z";"65+";"4";"10";"6"
"2020-07-15";"CZ0643";"Tiönov";"Z";"20-64";"";"1";""
"2020-10-10";"CZ0641";"Boskovice";"Z";"65+";"1";"2";"1"
"2020-04-02";"CZ0806";"Ostrava";"Z";"20-64";"";"5";""
"2020-07-30";"CZ0202";"Beroun";"Z";"0-19";"";"1";""
"2020-05-11";"CZ0712";"äternberk";"M";"20-64";"";"6";""
"2020-05-21";"CZ0646";"Vyökov";"M";"20-64";"";"2";""
"2020-08-11";"CZ020B";"Dob¯Ìö";"Z";"0-19";"";"1";""
"2020-08-10";"CZ0533";"Svitavy";"M";"20-64";"";"1";""
"2020-04-11";"CZ0804";"Kop¯ivnice";"M";"20-64";"";"1";""
"2020-10-09";"CZ0804";"Frenöt·t pod RadhoötÏm";"Z";"65+";"1";"2";"1"
"2020-04-13";"CZ0647";"Moravsk˝ Krumlov";"Z";"20-64";"";"2";""
"2020-04-16";"CZ0203";"Slan˝";"Z";"0-19";"";"1";""
"2020-06-18";"CZ0802";"T¯inec";"Z";"65+";"8";"17";"9"
