datum;okres;orp;pohlavi;vek_kat;pocet_pozitivni;pocet_vyleceni;pocet_zemreli;pocet_umrti_hospitalizace;pocet_umrti_komplikovany
2020-09-24;CZ0202;2008;M;20-64;2;1;1;1;1
2020-09-24;CZ0643;6417;M;65+;;;1;1;1
2020-09-25;CZ0209;2022;M;65+;;;1;1;1
2020-09-25;CZ0314;3108;M;65+;1;;1;1;0
2020-09-25;CZ0711;7102;M;20-64;2;1;1;0;0
2020-09-27;CZ0642;6403;Z;65+;1;4;1;1;0
2020-09-28;CZ0100;0;Z;65+;7;11;2;2;2
2020-09-28;CZ0313;3114;M;65+;;;1;1;1
2020-09-30;CZ0315;3109;M;65+;1;;1;0;0
2020-10-01;CZ0645;6410;Z;65+;3;;1;1;1
2020-10-01;CZ0714;7109;Z;65+;3;;2;1;1
2020-10-01;CZ0805;8009;M;65+;1;;1;1;1
2020-10-02;CZ0100;0;Z;65+;29;17;1;1;1
2020-10-02;CZ0724;7213;Z;65+;3;1;1;1;1
2020-10-04;CZ0100;0;M;65+;32;18;1;1;1
2020-10-05;CZ0641;6402;M;65+;7;1;1;1;0
2020-10-06;CZ0426;4213;Z;65+;2;;1;1;1
2020-10-06;CZ0722;7207;M;65+;6;2;1;1;1
2020-10-07;CZ0202;2002;M;65+;2;;1;1;1
2020-10-07;CZ0311;3102;M;65+;5;;2;2;2
2020-10-07;CZ0411;4101;M;65+;2;;2;0;1
2020-10-08;CZ0643;6417;M;65+;1;1;1;1;1
2020-10-09;CZ0427;4214;Z;65+;6;;1;1;0
2020-10-09;CZ0534;5301;Z;65+;;1;1;1;1
2020-10-09;CZ0634;6306;M;65+;1;;1;1;0
2020-10-10;CZ0201;2001;M;20-64;9;5;1;1;1
2020-10-10;CZ0204;2010;Z;65+;6;2;1;1;0
2020-10-10;CZ0642;6403;M;65+;8;6;4;3;3
2020-10-10;CZ0712;7110;M;65+;;;1;1;1
2020-10-10;CZ0724;7209;M;65+;3;;1;1;1
2020-10-11;CZ0642;6403;Z;65+;2;5;1;1;1
2020-10-11;CZ0712;7107;M;20-64;1;6;1;1;1
2020-10-12;CZ0207;2015;M;20-64;13;14;1;1;0
2020-10-12;CZ0327;3215;M;65+;3;1;1;1;0
2020-10-12;CZ0421;4212;Z;65+;;;1;0;0
2020-10-12;CZ0806;8019;M;65+;2;10;1;1;1
2020-10-13;CZ0411;4102;Z;65+;1;2;1;1;1
2020-10-14;CZ0634;6313;M;65+;8;;1;1;1
2020-10-15;CZ0424;4210;M;65+;2;;1;1;0
2020-10-15;CZ0521;5205;Z;65+;16;4;2;0;0
2020-10-15;CZ0525;5203;M;65+;2;;1;1;0
2020-10-15;CZ0633;6310;Z;65+;1;;1;0;0
2020-10-15;CZ0643;6413;Z;65+;;;1;1;1
2020-10-16;CZ0100;0;Z;65+;84;44;3;3;3
2020-10-16;CZ0203;2009;Z;65+;5;2;1;0;0
2020-10-16;CZ0204;2010;M;65+;3;4;1;1;0
2020-10-16;CZ0317;3112;Z;65+;5;2;2;2;2
2020-10-16;CZ0513;5105;M;65+;13;5;2;1;1
2020-10-16;CZ0724;7211;M;65+;1;1;1;1;0
2020-10-17;CZ020A;2005;M;65+;6;2;1;1;0
2020-10-18;CZ0421;4212;M;65+;;;1;0;0
2020-10-18;CZ0423;4208;Z;20-64;11;14;1;1;1
2020-10-18;CZ0722;7207;Z;65+;12;8;1;1;1
2020-10-19;CZ0326;3211;M;65+;2;;1;0;0
2020-10-19;CZ0413;4107;Z;65+;6;2;2;2;0
2020-10-19;CZ0426;4201;M;65+;;1;1;1;0
